iter	RMSE
1839	0.09271511689
1840	0.09269798414
1841	0.09268773969
1842	0.09267775989
1843	0.09266910054
1844	0.09265737348
1845	0.09265110262
1846	0.09263267445
1847	0.09262940838
1848	0.0926164837
1849	0.09261170253
1850	0.09258982743
1851	0.09257740366
1852	0.09257627746
1853	0.09256468947
1854	0.09255553894
1855	0.09255028233
1856	0.09253893094
1857	0.09253876491
1858	0.09253224332
1859	0.09252323034
1860	0.09252261654
1861	0.09250186525
1862	0.09249641482
1863	0.09249046015
1864	0.09248676928
1865	0.09247165048
1866	0.0924649267
1867	0.09246000047
1868	0.09245255865
1869	0.09243835954
1870	0.0924334124
1871	0.09241689601
1872	0.09239982905
1873	0.09239423857
1874	0.09238733295
1875	0.09238246991
1876	0.09237789543
1877	0.09236830547
1878	0.09236105184
1879	0.09235459435
1880	0.09235417173
1881	0.09233970706
1882	0.09233005744
1883	0.09231788888
1884	0.09231312226
1885	0.09230989309
1886	0.09230908159
1887	0.09229728458
1888	0.09229319267
1889	0.09228422807
1890	0.09226562083
1891	0.09225387404
1892	0.09224694868
1893	0.09223623744
1894	0.09222890574
1895	0.09222293324
1896	0.09221035573
1897	0.092201975
1898	0.09219415102
1899	0.09219398726
1900	0.09217678339
1901	0.09217638661
1902	0.09217011564
1903	0.09215982463
1904	0.09215064167
1905	0.09214272494
1906	0.09213221758
1907	0.09211676331
1908	0.09210198132
1909	0.09208863445
1910	0.09207715641
1911	0.09206557675
1912	0.09205579454
1913	0.0920490508
1914	0.09204350593
1915	0.09202599623
1916	0.09200100369
1917	0.09198948863
1918	0.09198313032
1919	0.09197114423
1920	0.09196170433
1921	0.0919613979
1922	0.0919540793
1923	0.091951157
1924	0.09194075879
1925	0.09193857857
1926	0.09193061431
1927	0.09192318072
1928	0.09191523102
1929	0.09190475753
1930	0.09189449867
1931	0.0918881515
1932	0.09186541832
1933	0.09185046386
1934	0.09184722476
1935	0.09183731046
1936	0.09182922428
1937	0.09181432264
1938	0.09180635848
1939	0.09180280777
1940	0.09179524255
1941	0.09178403408
1942	0.09178220865
1943	0.09178211001
1944	0.0917807016
1945	0.09177137317
1946	0.09175958788
1947	0.09175076576
1948	0.09174403094
1949	0.09173025347
1950	0.09171883197
1951	0.0917159897
1952	0.09170270734
1953	0.09169585891
1954	0.09168907506
1955	0.09167967121
1956	0.0916685596
1957	0.09165903253
1958	0.09165055179
1959	0.09164576093
1960	0.09163149783
1961	0.09161836964
1962	0.09161254116
1963	0.09160672508
1964	0.09159741138
1965	0.0915880921
1966	0.09157430641
1967	0.09156166506
1968	0.09154853507
1969	0.09153998854
1970	0.091535332
1971	0.09153011351
1972	0.09151405814
1973	0.09150755559
1974	0.09150061777
1975	0.09149012981
1976	0.09148094149
1977	0.09147968744
1978	0.09147320297
1979	0.09146696808
1980	0.0914662661
1981	0.09144698527
1982	0.0914361997
1983	0.09143073104
1984	0.09142593141
1985	0.09142145402
1986	0.0914128295
1987	0.09140092961
1988	0.09140012816
1989	0.09139007664
1990	0.09138809274
1991	0.09137600489
